City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind_Speed (mph)
atikokan,48.75,-91.616667,28.11,87.0,100.0,8.14
dwarka,22.239444,68.967778,83.26,49.0,0.0,8.25
muzhi,65.366667,64.666667,6.42,95.0,98.0,8.63
guadalupe y calvo,26.1,-106.966667,65.79,40.0,0.0,12.1
bambanglipuro,-7.95,110.283333,76.6,87.0,100.0,7.83
visby,57.633333,18.3,52.2,93.0,90.0,9.17
kamenskoye,62.5,166.2,24.15,95.0,100.0,3.47
bontang,0.133333,117.5,75.74,90.0,100.0,5.93
markova,57.320556,107.088056,17.58,94.0,100.0,2.82
arshan,46.2732,44.22,44.6,75.0,100.0,11.18
pandan,14.0453,124.1694,78.64,84.0,100.0,5.48
gushikawa,26.354444,127.868611,68.29,82.0,1.0,6.93
dolores,-36.313215,-57.679185,66.07,56.0,0.0,7.2
anadyr,64.75,177.483333,15.8,92.0,40.0,4.47
katsuura,35.133333,140.3,62.01,63.0,40.0,12.75
honiara,-9.4333333,159.95,73.4,100.0,40.0,2.24
teahupoo,-17.8333333,-149.2666667,84.09,70.0,75.0,12.75
port hardy,50.716667,-127.5,44.6,93.0,90.0,9.17
newcastle,-32.927792,151.784485,57.07,100.0,90.0,10.29
namatanai,-3.6666667,152.4333333,79.95,73.0,16.0,4.45
suba,10.8438,121.0102,82.54,80.0,100.0,25.43
farafangana,-22.8166667,47.8333333,70.63,82.0,0.0,6.53
natal,-5.783333,-35.216667,83.28,69.0,40.0,12.75
adre,13.4666667,22.2,79.16,21.0,20.0,8.55
skagastrond,65.833333,-20.316667,37.72,78.0,65.0,11.05
westport,-41.75,171.566667,57.36,95.0,100.0,3.74
numan,9.466667,12.033333,80.2,30.0,43.0,0.96
karpathos,35.5,27.2333333,69.8,77.0,20.0,2.24
evanston,41.2683333,-110.9625,18.81,41.0,1.0,5.82
road town,18.4166667,-64.6166667,85.37,70.0,20.0,10.29
parabel,58.697778,81.4825,31.01,98.0,100.0,11.79
tateyama,34.983333,139.866667,61.92,63.0,40.0,12.75
nanga eboko,4.6833333,12.3666667,70.38,94.0,61.0,1.72
tupik,54.4253,119.9327,26.22,96.0,100.0,10.71
coihaique,-45.566667,-72.066667,55.4,50.0,40.0,11.41
te anau,-45.416667,167.716667,47.91,67.0,64.0,3.85
havre,48.55,-109.6833333,26.6,63.0,1.0,25.28
khatanga,71.966667,102.5,2.61,94.0,83.0,9.51
moussoro,13.6425,16.4888889,85.42,15.0,94.0,11.21
fundu moldovei,47.533333,25.4,43.0,86.0,0.0,3.15
chapais,49.783333,-74.866667,30.2,92.0,90.0,6.93
lagoa,39.05,-27.983333,68.16,88.0,100.0,24.74
da nang,16.067778,108.220833,75.2,94.0,75.0,11.7
avera,-22.45,-151.35,72.07,84.0,100.0,19.42
tiksi,71.687222,128.869444,6.13,93.0,99.0,8.01
tuxpan,21.95,-105.3,90.93,59.0,81.0,8.81
aklavik,68.216667,-135.0,12.2,92.0,75.0,6.93
saldanha,-33.01167,17.944202,62.6,77.0,25.0,3.36
lovec,43.1333333,24.7166667,53.8,87.0,5.0,3.85
vostok,48.916667,148.9,46.09,88.0,57.0,18.75
pau,43.299999,-0.366667,47.43,87.0,87.0,10.29
gwalior,26.223611,78.179167,73.29,25.0,0.0,3.8
samarinda,-0.5,117.15,73.31,96.0,99.0,2.46
alice springs,-23.697479,133.883621,55.4,35.0,0.0,4.7
fort frances,48.616667,-93.416667,29.34,42.0,90.0,9.17
yumen,39.833333,97.733333,32.65,74.0,100.0,1.72
fujinomiya,35.216667,138.616667,51.6,84.0,55.0,4.65
nouakchott,18.0863889,-15.9752778,98.6,7.0,0.0,12.75
tumannyy,68.884722,35.694444,35.78,98.0,100.0,11.18
biak,-1.166007,136.09717,80.28,80.0,69.0,5.41
namibe,-15.196111,12.152222,69.46,78.0,84.0,3.87
bambous virieux,-20.3427778,57.7575,73.22,73.0,40.0,8.05
trairi,-3.283333,-39.25,80.65,75.0,0.0,11.59
yuci,37.680278,112.731944,53.6,20.0,0.0,13.42
esik,43.355,77.463333,41.0,65.0,75.0,2.24
koungou,-12.7336111,45.2041667,78.8,78.0,90.0,4.7
at-bashi,41.1697222,75.8102778,35.85,71.0,100.0,4.63
paamiut,62.0,-49.75,33.12,88.0,100.0,33.82
nyurba,63.284167,118.331944,13.05,86.0,100.0,3.85
khorixas,-20.3666667,14.9666667,74.17,31.0,73.0,4.43
novyy oskol,50.763302,37.86402,49.26,72.0,100.0,8.52
kavaratti,10.566667,72.616667,82.56,71.0,80.0,6.96
tubruq,32.0836111,23.9763889,70.59,64.0,0.0,8.88
ulladulla,-35.359058,150.472473,51.15,93.0,90.0,11.41
kulhudhuffushi,6.6166667,73.05,82.45,75.0,51.0,6.85
juba,4.85,31.6166667,75.54,79.0,100.0,2.1
fuzhou,26.061389,119.306111,68.0,72.0,0.0,6.71
pevek,69.700833,170.313333,23.77,94.0,98.0,11.45
ampanihy,-24.7,44.75,72.45,63.0,0.0,4.72
prieska,-29.664088,22.747421,76.71,38.0,19.0,10.38
uray,60.124722,64.775833,26.73,96.0,100.0,15.55
toliary,-23.35,43.6666667,72.41,79.0,0.0,4.5
berlevag,70.85,29.1,33.8,86.0,0.0,20.8
ashington,55.163889,-1.586389,48.29,81.0,20.0,20.8
bandarbeyla,9.4833333,50.8166667,76.44,77.0,74.0,15.84
porbandar,21.633333,69.6,82.47,52.0,0.0,8.77
sept-iles,50.2,-66.383333,31.23,92.0,90.0,4.7
alofi,-19.0166667,-169.9166667,71.6,88.0,75.0,11.41
umm durman,15.6361111,32.4372222,90.68,14.0,0.0,12.75
wana,32.298889,69.5725,53.31,37.0,0.0,2.48
kankavli,16.266667,73.7,74.14,90.0,42.0,2.93
nanortalik,60.1166667,-45.2166667,34.97,87.0,100.0,11.43
langenburg,50.833333,-101.7,18.75,90.0,100.0,12.46
yaan,29.989788,103.003694,62.56,70.0,100.0,1.79
ambon,-3.695426,128.181405,82.99,90.0,92.0,5.97
amahai,-3.333333,128.916667,82.99,90.0,100.0,2.48
sosnogorsk,63.602288,53.881751,21.58,96.0,94.0,1.72
lavrentiya,65.583333,-171.0,30.34,92.0,20.0,5.57
lodeynoye pole,60.726004,33.553057,45.99,91.0,100.0,8.14
hami,42.8,93.45,37.49,66.0,100.0,3.24
eureka,40.8022222,-124.1625,65.43,22.0,1.0,8.05
yaguajay,22.3272222,-79.2377778,78.84,85.0,100.0,9.8
kaeo,-35.1,173.783333,62.01,96.0,21.0,1.01
katobu,-4.9186,122.5218,75.51,87.0,100.0,3.2
regeneracao,-6.25,-42.683333,89.6,49.0,100.0,3.11
wajir,1.7472222,40.0688889,85.96,50.0,91.0,22.64
samalaeulu,-13.4666667,-172.2666667,78.39,94.0,75.0,6.93
plaster rock,46.9,-67.383333,31.53,74.0,90.0,5.82
dezhou,37.448611,116.2925,56.25,33.0,99.0,11.23
vershino-shakhtaminskiy,51.3012,117.8868,19.96,92.0,81.0,11.61
ha giang,22.833333,104.983333,70.3,85.0,58.0,1.43
chumikan,54.718333,135.315,30.54,85.0,66.0,2.89
jining,41.0275,113.105833,27.27,77.0,1.0,4.03
akdepe,42.05,59.4,50.99,66.0,0.0,9.17
sharan,33.146667,68.791667,43.21,45.0,0.0,5.03
attawapiskat,52.916667,-82.433333,30.2,54.0,40.0,13.87
sabha,27.0333333,14.4333333,72.14,29.0,20.0,9.37
tigzirt,36.8938889,4.1225,60.85,64.0,1.0,11.3
olga,43.744444,135.289167,37.62,79.0,0.0,3.76
salinopolis,-0.616667,-47.333333,83.28,72.0,9.0,11.95
kashima,35.966667,140.633333,50.9,81.0,75.0,5.82
bengkulu,-3.8,102.266667,74.62,85.0,100.0,3.91
port-cartier,50.016667,-66.866667,31.15,92.0,90.0,4.7
sangar,63.924167,127.473889,17.02,97.0,100.0,3.36
chontalpa,17.7,-93.516667,82.22,73.0,98.0,4.07
litoral del san juan,4.258748,-77.365164,80.78,83.0,96.0,6.93
esperance,-33.86013,121.882591,55.4,87.0,0.0,5.82
houston,54.4,-126.65,28.4,86.0,75.0,5.53
hulan,45.983333,126.6,42.01,54.0,0.0,9.93
kieta,-6.2166667,155.6333333,79.14,76.0,60.0,2.73
lakhnadon,22.6,79.6,68.68,57.0,6.0,2.57
sydney,-33.861481,151.205475,56.5,95.0,92.0,3.0
hambantota,6.1166667,81.1166667,78.8,94.0,40.0,2.24
qibili,33.704387,8.969034,70.77,26.0,0.0,5.75
muroto,33.283333,134.15,65.08,63.0,21.0,8.61
jalu,29.0333333,21.55,70.9,52.0,5.0,6.26
srednekolymsk,67.45,153.683333,6.4,91.0,0.0,7.07
ilula,-7.6833333,36.0333333,71.6,53.0,75.0,5.93
sangmelima,2.9333333,11.9833333,69.57,96.0,100.0,2.39
khuzhir,53.193889,107.339722,27.46,81.0,0.0,4.38
hualmay,-11.0902778,-77.6294444,68.58,71.0,97.0,9.69
shasta lake,40.6805556,-122.3697222,66.61,6.0,1.0,21.92
montepuez,-13.1255556,38.9997222,71.46,77.0,3.0,6.98
churumuco,18.616667,-101.633333,94.8,43.0,100.0,1.95
neiafu,-18.65,-173.9833333,75.2,83.0,75.0,16.11
ferrol,43.483213,-8.236893,50.92,87.0,20.0,5.82
baker city,44.775,-117.8333333,33.8,43.0,90.0,3.06
kyra,49.5776,111.9753,25.0,76.0,100.0,3.8
klamath falls,42.225,-121.7805556,42.55,30.0,1.0,3.36
nogent-le-rotrou,48.320197,0.820593,47.75,87.0,0.0,8.05
henties bay,-22.1166667,14.2833333,57.0,91.0,0.0,1.99
esso,55.933333,158.7,32.77,93.0,100.0,2.17
itaituba,-4.216667,-56.016667,95.0,53.0,20.0,0.87
pacific grove,36.6177778,-121.9155556,67.86,10.0,1.0,4.7
popovo,43.35,26.2333333,48.2,100.0,20.0,3.36
laredo,27.5061111,-99.5072222,90.55,43.0,75.0,10.29
lewistown,47.0625,-109.4275,27.28,49.0,75.0,9.17
hobyo,5.3513889,48.5255556,79.32,80.0,4.0,8.79
grindavik,63.833333,-22.433333,41.0,80.0,75.0,16.11
bassano,50.783333,-112.466667,36.0,64.0,100.0,5.99
homer,59.6425,-151.5483333,42.67,70.0,90.0,26.4
mwene-ditu,-7.0,23.45,68.29,95.0,100.0,3.44
dubai,25.258172,55.304717,81.64,42.0,0.0,5.82
halalo,-13.35,-176.1833333,81.63,74.0,54.0,10.29
point pleasant,40.0830556,-74.0686111,62.65,100.0,90.0,5.82
geraldton,-28.778971,114.614594,53.6,93.0,75.0,4.7
ledyard,43.4216667,-94.1619444,27.66,79.0,1.0,5.82
yuanping,38.715278,112.7575,44.19,50.0,89.0,7.4
saint-georges,3.9,-51.8,86.0,74.0,40.0,6.93
do gonbadan,30.3586,50.7981,69.8,35.0,0.0,1.32
luanda,-8.836804,13.233174,77.0,83.0,20.0,8.05
morgan hill,37.1305556,-121.6533333,67.93,8.0,1.0,14.99
aswan,24.0875,32.8988889,80.85,28.0,0.0,10.13
hot springs,34.5036111,-93.055,49.73,87.0,90.0,5.82
tikamgarh,24.745,78.8333,71.82,31.0,0.0,1.81
yulara,-25.245291,130.980545,59.0,31.0,0.0,6.93
portland,-38.352612,141.605743,52.68,70.0,77.0,16.35
necochea,-38.547259,-58.736753,62.08,51.0,0.0,4.38
westport,53.8,-9.5166667,48.22,75.0,100.0,5.57
matagami,49.75,-77.633333,24.8,92.0,90.0,13.87
sataua,-13.4666667,-172.6666667,81.93,76.0,16.0,13.62
alihe,50.566667,123.716667,31.03,97.0,80.0,2.91
mount gambier,-37.831799,140.77919,46.4,87.0,99.0,11.41
nicolas bravo,18.45,-88.916667,84.2,79.0,90.0,11.41
jensen beach,27.2541667,-80.23,84.78,70.0,40.0,9.17
muros,42.776173,-9.060316,52.54,92.0,100.0,1.99
valparaiso,-33.047778,-71.601111,70.18,33.0,0.0,16.11
nisia floresta,-6.066667,-35.133333,83.28,69.0,40.0,12.75
kyshtovka,56.554983,76.627127,42.6,95.0,100.0,10.85
sayyan,15.1663889,44.3280556,53.42,34.0,0.0,4.61
puerto quijarro,-17.7833333,-57.7666667,95.09,40.0,100.0,9.08
troy,31.8086111,-85.97,81.79,51.0,20.0,3.36
bilma,18.6866667,12.9191667,71.24,22.0,0.0,1.03
makakilo city,21.3469444,-158.0858333,78.33,74.0,20.0,3.36
port macquarie,-31.43084,152.908936,55.99,96.0,98.0,12.86
bumba,2.183333,22.466667,73.15,92.0,88.0,1.95
avanigadda,16.016667,80.916667,75.04,87.0,0.0,3.69
zhaotong,27.316667,103.716667,49.42,91.0,99.0,3.69
abulug,18.445278,121.453333,79.97,85.0,100.0,13.76
bilibino,68.05,166.333333,3.24,97.0,100.0,2.55
ayan,56.45,138.166667,32.59,76.0,1.0,3.56
senanga,-16.1166667,23.2666667,77.88,20.0,0.0,6.49
shingu,33.733333,135.983333,52.9,65.0,9.0,5.79
kudahuvadhoo,2.6666667,72.9,82.47,76.0,8.0,8.1
rameswaram,9.283333,79.3,82.71,77.0,62.0,10.83
olafsvik,64.883333,-23.716667,37.98,83.0,100.0,15.19
mandalgovi,45.75,106.2666667,25.63,68.0,0.0,8.95
thinadhoo,0.5333333,72.9333333,82.78,69.0,48.0,7.38
quelimane,-17.8786111,36.8883333,78.8,83.0,40.0,11.41
nkan,0.7166667,9.6666667,78.8,88.0,20.0,4.7
dzhusaly,45.487778,64.078056,45.79,75.0,0.0,11.48
manono,-7.3,27.416667,71.94,84.0,100.0,2.1
waipawa,-41.412222,175.515278,51.6,100.0,100.0,16.11
lumut,4.2323,100.6298,77.0,100.0,20.0,7.52
chekmagush,55.131944,54.655556,29.28,93.0,96.0,18.52
buariki,1.5833333,172.9666667,78.8,78.0,75.0,4.7
srandakan,-7.938611,110.250556,76.64,87.0,100.0,7.72
ruatoria,-37.883333,178.333333,67.55,59.0,27.0,2.08
kuito,-12.383333,16.933333,71.74,43.0,75.0,7.09
astoria,46.1880556,-123.83,50.23,49.0,1.0,6.93
xinyu,27.804294,114.933354,60.94,75.0,74.0,2.21
sioux lookout,50.1,-91.916667,26.6,53.0,90.0,6.93
tual,-5.666667,132.75,82.02,74.0,100.0,7.72
mahalapye,-23.0666667,26.8333333,78.8,24.0,76.0,12.03
bengkalis,1.466667,102.133333,78.12,87.0,100.0,2.19
mulege,26.883333,-111.983333,77.74,50.0,3.0,18.86
kongsberg,59.65,9.65,42.39,96.0,100.0,2.06
puerto lopez,4.084514,-72.955974,89.76,56.0,17.0,6.82
chaohu,31.6,117.866667,59.32,87.0,79.0,2.24
nata,-20.2166667,26.1833333,81.68,16.0,0.0,14.61
macaiba,-5.716667,-35.55,83.32,70.0,40.0,13.87
nome,64.5011111,-165.4063889,34.61,69.0,90.0,4.7
silver city,32.77,-108.2797222,64.4,34.0,75.0,14.99
preston,42.0963889,-111.8758333,29.55,33.0,1.0,6.26
sekoma,-24.4,23.8833333,82.08,19.0,97.0,11.45
vikravandi,12.033333,79.55,76.3,82.0,0.0,4.94
olinda,-8.016667,-34.85,84.2,70.0,75.0,9.17
rumia,54.570608,18.410544,51.08,93.0,75.0,13.87
qasigiannguit,68.8166667,-51.1833333,17.6,72.0,75.0,2.24
bonfim,3.083333,-59.95,94.17,42.0,99.0,2.57
gorno-chuyskiy,57.642778,111.721944,8.38,92.0,12.0,1.63
mian channun,30.440042,72.354314,67.53,25.0,0.0,3.62
rungata,-1.35,176.4333333,81.95,66.0,85.0,8.16
busembatia,0.7697222,33.6130556,64.62,88.0,100.0,4.16
severodvinsk,64.5635,39.8302,33.8,89.0,90.0,11.18
ahumada,30.616667,-106.516667,82.09,15.0,0.0,17.78
karaman,37.181111,33.215,62.76,33.0,100.0,6.04
banda aceh,5.5577,95.3222,79.88,74.0,95.0,11.3
saint anthony,51.383333,-55.6,35.56,64.0,1.0,17.22
castel san giovanni,45.066667,9.433333,56.34,90.0,100.0,1.99
khonuu,66.45,143.1,10.02,85.0,96.0,2.19
bonthe,7.5263889,-12.505,79.66,86.0,98.0,7.31
bonavista,48.633333,-53.1,41.0,53.0,94.0,7.0
rafaela,-31.250332,-61.486696,76.8,21.0,0.0,5.99
coolum beach,-26.533331,153.091232,69.73,95.0,86.0,8.72
fallon,39.4736111,-118.7763889,41.0,23.0,1.0,1.99
coracora,-15.0333333,-73.7833333,64.49,29.0,60.0,13.06
satara,17.683333,73.983333,70.0,84.0,26.0,1.83
tilichiki,60.466667,166.1,28.9,98.0,100.0,6.89
zyryanka,65.75,150.85,4.41,91.0,0.0,3.6
okato,-39.2,173.883333,60.17,84.0,93.0,8.99
shache,38.416667,77.240556,39.94,61.0,99.0,2.15
tongren,27.717222,109.185278,60.26,78.0,68.0,0.54
ombessa,4.6,11.25,71.91,93.0,100.0,3.44
ucluelet,48.933333,-125.516667,46.78,81.0,90.0,2.24
ambilobe,-13.2,49.05,73.45,72.0,11.0,4.7
riviere-au-renard,48.983333,-64.383333,39.2,35.0,90.0,3.36
fort saint john,56.25,-120.833333,32.0,81.0,75.0,17.22
touros,-5.2,-35.466667,84.2,70.0,40.0,13.87
mahadday weyne,2.9666667,45.5333333,78.89,80.0,100.0,9.62
ilulissat,69.2166667,-51.1,17.6,72.0,75.0,2.24
ramanuj ganj,23.8,83.7,66.52,60.0,0.0,3.04
namie,37.483333,141.0,41.49,98.0,22.0,4.45
novyy svit,45.477545,36.297373,64.87,76.0,99.0,17.25
isla aguada,18.783333,-91.466667,84.2,74.0,90.0,12.75
mutsamudu,-12.1627778,44.3963889,78.06,76.0,7.0,3.94
gizo,-8.1,156.85,82.15,73.0,100.0,1.7
bandar-e torkaman,36.90165,54.070884,62.6,93.0,40.0,3.33
santa cruz,10.26053,-85.585097,78.8,94.0,75.0,6.93
beringovskiy,63.05,179.316667,31.05,91.0,0.0,2.73
ola,59.583333,151.283333,32.77,86.0,95.0,14.36
kouango,4.9666667,19.9833333,74.12,90.0,100.0,2.21
xihe,31.686355,113.465846,60.21,53.0,39.0,1.79
tottori,35.5,134.233333,54.16,68.0,35.0,5.57
viedma,-40.813452,-62.996676,82.0,14.0,8.0,8.01
matir,37.040448,9.665574,69.8,60.0,20.0,10.29
buraydah,26.325986,43.974966,71.6,21.0,0.0,4.7
verkhnevilyuysk,63.445278,120.316667,11.39,90.0,99.0,6.22
bobo dioulasso,11.2,-4.3,84.2,62.0,70.0,4.7
atasu,48.681389,71.643333,47.12,65.0,77.0,17.45
bainbridge,30.9036111,-84.5755556,84.63,58.0,40.0,8.05
bismarck,46.8083333,-100.7833333,21.06,49.0,1.0,13.87
marrakesh,31.631485,-8.008281,68.0,64.0,0.0,8.05
marcona,-15.2119444,-75.1102778,65.59,61.0,100.0,14.79
dunedin,-45.866667,170.5,48.0,84.0,71.0,1.99
mao,14.1194444,15.3133333,84.9,16.0,65.0,10.92
comodoro rivadavia,-45.864135,-67.496558,66.2,34.0,0.0,19.46
qiongshan,20.005833,110.354167,69.8,100.0,40.0,2.24
mahon,39.883333,4.25,53.6,81.0,20.0,5.82
buta,2.8,24.733333,70.56,95.0,82.0,1.86
wawa,48.0,-84.783333,30.2,58.0,75.0,2.24
toora-khem,52.4675,96.11,25.7,86.0,100.0,1.66
charyshskoye,51.3978,83.5598,37.35,75.0,100.0,5.88
keita,14.7572222,5.7805556,84.2,18.0,0.0,4.7
upington,-28.447758,21.256121,86.0,20.0,4.0,2.24
manokwari,-0.866667,134.083333,78.94,74.0,0.0,5.1
